Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,13934.346728684623,-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,13960.155345459516,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,BUY,14175.4396124979,51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14106.030056531767,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14231.59792990609,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14264.237344802656,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,BUY,14387.271435973167,140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14471.970919913003,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14510.203337385476,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14544.184502148486,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14510.203337385476,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14510.203337385476,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14417.068369877277,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14477.539642289481,-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,14590.741665441545,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,BUY,14671.632184110089,-264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14510.203337385476,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14433.821044345563,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14177.924461119092,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,BUY,13886.10112287654,-158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13854.63728966346,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14077.033556462626,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14596.120952110361,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14710.478947727259,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14798.428755062843,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14873.93865026841,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,15100.732978479577,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,SELL,15103.176478479576,-27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15100.732978479577,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15103.177200701797,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15105.620700701798,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15289.756757583022,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15404.127118490735,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15199.552259459053,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15128.37854949606,-115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15060.995755879647,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14779.531099820764,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14719.919930911781,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14790.332184663124,324.25
2021-02-25,Thursday,15105.45,14522.4,SELL,15100.732978479577,583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14701.517805044454,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14703.990423852068,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14831.948766303241,-295.75
